DT,ts_code,trade_date,OPEN,CLOSE,HIGH,LOW,pre_close,change,pct_chg,swing,vol
2023-06-28,SPTSX,20230628,604.62,611.89,612.51,603.96,607.91,3.98,0.65,1.41,
2023-06-29,SPTSX,20230629,613.03,613.02,613.64,609.08,611.89,1.13,0.18,0.75,
2023-06-30,SPTSX,20230630,615.91,621.33,621.57,614.81,613.02,8.31,1.36,1.1,
2023-07-04,SPTSX,20230704,625.26,626.59,628.49,624.43,621.33,5.26,0.85,0.65,
2023-07-05,SPTSX,20230705,627.32,622.81,627.32,621.33,626.59,-3.78,-0.6,0.96,
2023-07-06,SPTSX,20230706,620.72,615.22,620.72,613.58,622.81,-7.59,-1.22,1.15,
2023-07-07,SPTSX,20230707,613.98,614.74,617.57,613.49,615.22,-0.48,-0.08,0.66,
2023-07-10,SPTSX,20230710,620.0,621.13,621.71,616.63,614.74,6.39,1.04,0.83,
2023-07-11,SPTSX,20230711,620.9,618.06,622.54,616.78,621.13,-3.07,-0.49,0.93,
2023-07-12,SPTSX,20230712,622.37,626.53,626.53,621.86,618.06,8.47,1.37,0.76,
2023-07-13,SPTSX,20230713,628.81,632.05,634.25,627.85,626.53,5.52,0.88,1.02,
2023-07-14,SPTSX,20230714,632.88,628.44,632.88,627.3,632.05,-3.61,-0.57,0.88,
2023-07-17,SPTSX,20230717,628.41,625.44,628.41,625.03,628.44,-3.0,-0.48,0.54,
2023-07-18,SPTSX,20230718,626.3,624.41,626.3,623.14,625.44,-1.03,-0.16,0.51,
2023-07-19,SPTSX,20230719,624.79,622.14,624.88,618.35,624.41,-2.27,-0.36,1.05,
2023-07-20,SPTSX,20230720,623.79,617.63,623.79,616.05,622.14,-4.51,-0.72,1.24,
2023-07-21,SPTSX,20230721,618.73,616.66,618.84,612.44,617.63,-0.97,-0.16,1.04,
